TIPO,SEVERIDADE,DESCRICAO,ARQUIVO,LINHA(S)
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",Core/Data/ContextDb.cs,22
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",Core/ViewModels/MenuGroupItem.cs,9
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",Core/ViewModels/MenuGroupItem.cs,16
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",FVS/Dtos/CriarFVSInfoDto.cs,11
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",FVS/Dtos/CriarFVSInfoDto.cs,12
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",Controllers/ApiBaseController.cs,12
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/AzureFileExplorerOperations.cs,34
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/AzureFileExplorerOperations.cs,35
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,152
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,153
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,154
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,155
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,156
VULNERABILITY,MINOR,"Make this field 'private' and encapsulate it in a 'public' property.",QrCode/FileExplorerOperations.cs,157
VULNERABILITY,MINOR,"Use of debugger statements is forbidden",src/app/main/content/ordemServico/relatorios/consolidadorOS/consolidadorOS.component.ts,311
VULNERABILITY,MINOR,"Use of debugger statements is forbidden",src/app/main/content/ordemServico/relatorios/consolidadorOS/consolidadorOS.component.ts,316
VULNERABILITY,MINOR,"Use of debugger statements is forbidden",src/app/main/content/qrcode/file-explore/file-explore.component.ts,316
VULNERABILITY,MINOR,"Use of debugger statements is forbidden",src/app/shared/base.service.ts,10
BUG,MAJOR,"Return 'Task' instead.",Core/Bus/MessageBus.cs,22
BUG,MAJOR,"Return 'Task' instead.",Core/Bus/MessageBus.cs,22
BUG,MAJOR,"'auth' is null on at least one execution path.",Core/Interfaces/AuthenticatedHttpClientHandler.cs,95
BUG,MAJOR,"'message' is null on at least one execution path.",Core/Queue/ProcessorReturnQueue.cs,85
BUG,MAJOR,"Return 'Task' instead.",Core/ViewModels/ViewModelBase.cs,196
BUG,MAJOR,"Return 'Task' instead.",Core/ViewModels/ViewModelBase.cs,203
BUG,MAJOR,"'registros' is null on at least one execution path.",FVS/FVSRegistroAppService.cs,335
BUG,MAJOR,"'registros' is null on at least one execution path.",FVS/FVSRegistroAppService.cs,359
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,252
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,261
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,280
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,298
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,324
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/CriarFVSPageViewModel.cs,388
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/ExecutarFVSPageViewModel.cs,340
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/HistoricoFVSPageViewModel.cs,84
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/HistoricoFVSPageViewModel.cs,148
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/HistoricoFVSPageViewModel.cs,161
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/HistoricoFVSPageViewModel.cs,172
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/PopupSairSemSalvarFVSViewModel.cs,29
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/PopupSairSemSalvarFVSViewModel.cs,36
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/ReprovarItemPageViewModel.cs,29
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/SelecionarAptoHallPageViewModel.cs,119
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/SelecionarAptoHallPageViewModel.cs,136
BUG,MAJOR,"Return 'Task' instead.",FVS/ViewModels/SelecionarFVSPageViewModel.cs,78
BUG,MAJOR,"Return 'Task' instead.",OrdemServico/ViewModels/AcompanhamentoAptoHallConclusaoQuantidadePageViewModel.cs,99
BUG,MAJOR,"Return 'Task' instead.",OrdemServico/ViewModels/CadastroOSAptoHallPageViewModel.cs,50
BUG,MAJOR,"Return 'Task' instead.",OrdemServico/ViewModels/OrdemServicoListaFiltradaPageViewModel.cs,55
BUG,MAJOR,"Return 'Task' instead.",OrdemServico/ViewModels/OrdemServicoListaPageViewModel.cs,62
BUG,MAJOR,"Return 'Task' instead.",Sincronizacao/ViewModels/SincronizacaoListaPageViewModel.cs,226
BUG,MAJOR,"Return 'Task' instead.",Sincronizacao/ViewModels/SincronizacaoPageViewModel.cs,165
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/AtividadeMap.cs,34
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ContratoItemMap.cs,27
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ContratoMap.cs,30
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/DispositivoMap.cs,23
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/DispositivoUsuarioMap.cs,24
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ElementoPepMap.cs,30
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ElementoPepSuperiorMap.cs,32
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/FornecedorMap.cs,23
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/FuncionarioMap.cs,27
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/GrupoParametroMap.cs,23
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ObraMap.cs,29
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ObraUsuarioMap.cs,24
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ProcessoFilaLogMap.cs,29
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/ServicoMap.cs,28
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/UnidadeMap.cs,27
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/Core/UsuarioMap.cs,28
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/OrdemServico/AcompanhamentoDiarioMap.cs,35
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/OrdemServico/ConfiguracaoServicoApropriadoMap.cs,37
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/OrdemServico/OrdemServicoMap.cs,52
BUG,MAJOR,"Either remove this useless object instantiation of class 'AggregateRootMap' or use it.",Mapping/OrdemServico/OrdemServicoNumeracaoMap.cs,27
CODE_SMELL,BLOCKER,"Either implement 'IDisposable.Dispose', or totally rename this method to prevent confusion.",Core/Insights/IProcessorInsightsQueue.cs,9
CODE_SMELL,BLOCKER,"Either implement 'IDisposable.Dispose', or totally rename this method to prevent confusion.",Core/Queue/Interfaces/IProcessorMessageQueue.cs,9
CODE_SMELL,BLOCKER,"Either implement 'IDisposable.Dispose', or totally rename this method to prevent confusion.",Core/Queue/Interfaces/IProcessorReturnQueue.cs,9
CODE_SMELL,BLOCKER,"Add some tests to this class.",Login/LoginPage.cs,13
CODE_SMELL,BLOCKER,"Either implement 'IDisposable.Dispose', or totally rename this method to prevent confusion.",UnitOfWork.cs,20
CODE_SMELL,BLOCKER,"Either implement 'IDisposable.Dispose', or totally rename this method to prevent confusion.",UnitOfWork.cs,30
CODE_SMELL,CRITICAL,"Remove this set, which updates a 'static' field from an instance method.",App.xaml.cs,65
CODE_SMELL,CRITICAL,"Remove this set, which updates a 'static' field from an instance method.",App.xaml.cs,74
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",Core/Controls/ControleVisual/ControleVisual.xaml.cs,229
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.",Core/Controls/ControleVisual/ControleVisual.xaml.cs,325
CODE_SMELL,CRITICAL,"Rename parameter 'modulo' to 'instance' to match the interface declaration.",Core/Data/CentralDeNotificacaoRepository.cs,12
CODE_SMELL,CRITICAL,"Rename parameter 'modulo' to 'instance' to match the interface declaration.",Core/Data/CentralDeNotificacaoRepository.cs,31
CODE_SMELL,CRITICAL,"Rename parameter 'nomeAtividade' to 'descricaoAtividade' to match the interface declaration.",Core/Data/ElementoPepRepository.cs,16
CODE_SMELL,CRITICAL,"Rename parameter 'item' to 'entity' to match the interface declaration.",Core/Data/ProcessoFilaRepository.cs,11
CODE_SMELL,CRITICAL,"Use the default parameter value defined in the overridden method.",Core/Helpers/CustomPageNavigationService.cs,29
CODE_SMELL,CRITICAL,"Use the default parameter value defined in the overridden method.",Core/Helpers/CustomPageNavigationService.cs,36
CODE_SMELL,CRITICAL,"Use the default parameter value defined in the overridden method.",Core/Helpers/CustomPageNavigationService.cs,41
CODE_SMELL,CRITICAL,"Rename parameter 'criterioMedicao' to 'criterioDeMedicao' to match the interface declaration.",Core/Insights/InsightsQueue.cs,35
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,90
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,91
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,96
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,225
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,228
CODE_SMELL,CRITICAL,"Make the enclosing instance method 'static' or remove this set on the 'static' field.",Core/Services/MonitorSincronizacao.cs,231
CODE_SMELL,CRITICAL,"Rename parameter 'nomeAtividade' to 'atividade' to match the interface declaration.",FVS/Data/FVSModelosRepository.cs,43
CODE_SMELL,CRITICAL,"Rename parameter 'nomeAtividade' to 'atividade' to match the interface declaration.",FVS/Data/FVSModelosRepository.cs,52
CODE_SMELL,CRITICAL,"Rename parameter 'registroFVS' to 'registro' to match the interface declaration.",FVS/Data/FVSRegistroRepository.cs,37
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",FVS/Data/FVSRegistroRepository.cs,37
CODE_SMELL,CRITICAL,"Rename parameter 'RegistroFVSOut' to 'registro' to match the interface declaration.",FVS/Data/FVSRegistroRepository.cs,81
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",FVS/Data/FVSRegistroRepository.cs,93
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",FVS/Data/FVSRegistroRepository.cs,146
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",FVS/Data/FVSRegistroRepository.cs,247
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.",FVS/Data/FVSRegistroRepository.cs,355
CODE_SMELL,CRITICAL,"Change the visibility of 'CRIAR_FVS' or make it 'const' or 'readonly'.",FVS/Dtos/CriarFVSInfoDto.cs,11
CODE_SMELL,CRITICAL,"Change the visibility of 'VISUALIZAR_FVS' or make it 'const' or 'readonly'.",FVS/Dtos/CriarFVSInfoDto.cs,12
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",FVS/FVSModule.cs,42
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",FVS/Helpers/SelecionarAptoHallHelper.cs,14
CODE_SMELL,CRITICAL,"Rename parameter 'bundle' to 'savedInstanceState' to match the base class declaration.",MainActivity.cs,85
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",MainActivity.cs,152
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",MainApplication.cs,37
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",MainApplication.cs,41
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",MainApplication.cs,50
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",MainApplication.cs,59
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.",OrdemServico/Controls/CalendarioOSView.xaml.cs,212
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.",OrdemServico/Controls/CalendarioOSView.xaml.cs,323
CODE_SMELL,CRITICAL,"Rename parameter 'IdOrdemServico' to 'idOrdemServico' to match the interface declaration.",OrdemServico/Data/AcompanhamentoDiarioRepository.cs,17
CODE_SMELL,CRITICAL,"Rename parameter 'idUnidadesNaoConcluidas' to 'IdUnidadesNaoConcluidas' to match the interface declaration.",OrdemServico/Data/AcompanhamentoDiarioRepository.cs,151
CODE_SMELL,CRITICAL,"Rename parameter 'entity' to 'ordemServico' to match the interface declaration.",OrdemServico/Data/OrdemServicoRepositoryLocal.cs,19
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.",OrdemServico/Data/OrdemServicoRepositoryLocal.cs,19
CODE_SMELL,CRITICAL,"Rename parameter 'idOrdemServico' to 'IdOrdemServico' to match the interface declaration.",OrdemServico/Data/OrdemServicoRepositoryReadOnly.cs,530
CODE_SMELL,CRITICAL,"Rename parameter 'idOrdemServico' to 'IdOrdemServico' to match the interface declaration.",OrdemServico/Data/OrdemServicoRepositoryReadOnly.cs,593
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.",OrdemServico/ViewModels/AcompanhamentoAptoHallPageViewModel.cs,553
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",OrdemServico/ViewModels/CadastroOSAptoHallPageViewModel.cs,50
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",OrdemServico/ViewModels/CadastroOSBaseViewModel.cs,401
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.",OrdemServico/ViewModels/ControleVisualPredinhoPageViewModel.cs,256
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.",OrdemServico/ViewModels/ControleVisualPredinhoPageViewModel.cs,461
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",OrdemServico/ViewModels/OrdemServicoDetalhePageViewModel.cs,40
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Sincronizacao/SincronizacaoModule.cs,43
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.",Sincronizacao/ViewModels/SincronizacaoListaPageViewModel.cs,177
CODE_SMELL,CRITICAL,"Rename parameter 'bundle' to 'savedInstanceState' to match the base class declaration.",SplashActivity.cs,13
CODE_SMELL,CRITICAL,"Rename parameter 'tableName' to 'table' to match the interface declaration.",Core/ConnectionStorage.cs,9
CODE_SMELL,CRITICAL,"Rename parameter 'p' to 'node' to match the base class declaration.",Core/Specifications/Queries/SpecificationParameterRebinder.cs,19
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.",FVS/FVSRegistroAppService.cs,88
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 21 to the 15 allowed.",FVS/FVSRegistroAppService.cs,130
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.",FVS/Services/FVSRegistroService.cs,77
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,8
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,13
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,18
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,23
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,28
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,33
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Global.asax.cs,38
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.",MRVObrasContext.cs,123
CODE_SMELL,CRITICAL,"Remove the default parameter value to match the signature of overridden method.",OrdemServico/Services/OrdemServicoService.cs,165
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 35 to the 15 allowed.",OrdemServico/Services/OrdemServicoService.cs,199
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.",OrdemServico/Services/OrdemServicoService.cs,312
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.",OrdemServico/Services/OrdemServicoService.cs,367
CODE_SMELL,CRITICAL,"Rename parameter 'IdObra' to 'idObra' to match the interface declaration.",OrdemServico/Services/OrdemServicoService.cs,618
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.",QrCode/AzureFileExplorerOperations.cs,196
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.",Repositories/CodigoAcessoTokenRepository.cs,22
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.",Repositories/OrdemServicoReadOnlyRepository.cs,25
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.",Repositories/OrdemServicoReadOnlyRepository.cs,133
CODE_SMELL,CRITICAL,"Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.",Security/ADAuthorizationServerProvider.cs,27
CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",Startup.cs,16
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Bus/MessageBus.cs,12
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Bus/MessageBus.cs,12
CODE_SMELL,MAJOR,"Remove the unused private field 'topicClient'.",Core/Bus/MessageBus.cs,18
CODE_SMELL,MAJOR,"Remove the unused private field 'topicClient'.",Core/Bus/MessageBus.cs,18
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,28
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,28
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,49
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,49
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,63
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,63
CODE_SMELL,MAJOR,"Remove the unused private method 'RegisterOnMessageHandlerAndReceiveMessages'.",Core/Bus/MessageBus.cs,86 - 103
CODE_SMELL,MAJOR,"Remove the unused private method 'RegisterOnMessageHandlerAndReceiveMessages'.",Core/Bus/MessageBus.cs,86 - 103
CODE_SMELL,MAJOR,"Fix this implementation of 'IDisposable' to conform to the dispose pattern.",Core/Controls/FloatingDatePicker.xaml.cs,8
CODE_SMELL,MAJOR,"Update this method so that its implementation is not identical to 'DatePicker_Unfocused'.",Core/Controls/FloatingDatePicker.xaml.cs,117
CODE_SMELL,MAJOR,"Make '_container' 'readonly'.",Core/CoreModule.cs,164
CODE_SMELL,MAJOR,"Change the visibility of this constructor to 'protected'.",Core/DataServices/BaseDataService.cs,13
CODE_SMELL,MAJOR,"Change the visibility of this constructor to 'protected'.",Core/DataServices/BaseDataService.cs,13
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/DataServices/Mocks/AtividadeDataServiceMock.cs,14
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/DataServices/Mocks/AtividadeDataServiceMock.cs,14
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,80
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,80
CODE_SMELL,MAJOR,"Remove this useless assignment to local variable 'usuario'.",Core/DataServices/UsuarioDataService.cs,102
CODE_SMELL,MAJOR,"Remove this useless assignment to local variable 'usuario'.",Core/DataServices/UsuarioDataService.cs,102
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,154
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,154
